id,topic,description,created_at,updated_at,deleted_at
CDT0001,Daur Ulang Plastik,"Proses daur ulang plastik melibatkan pengumpulan sampah plastik, pembersihan, penghancuran menjadi serpihan kecil, dan kemudian melelehkannya untuk dibentuk menjadi produk baru. Plastik yang dapat didaur ulang termasuk botol air, wadah makanan, dan kantong belanja tertentu.",2024-06-06 17:40:10.150,2024-06-06 17:40:10.150,
CDT0002,Pemanfaatan Sampah Organik,Sampah organik seperti sisa makanan dan daun dapat diubah menjadi kompos yang berguna sebagai pupuk alami. Proses ini melibatkan penguraian bahan organik oleh mikroorganisme dalam kondisi yang terkontrol.,2024-06-06 17:40:10.154,2024-06-06 17:40:10.154,
CDT0003,Pengelolaan Sampah Elektronik,"Sampah elektronik seperti ponsel lama, komputer, dan televisi harus dibawa ke pusat daur ulang elektronik. Komponen-komponen berharga seperti logam mulia bisa diekstraksi dan digunakan kembali, sementara bahan berbahaya dikelola dengan aman.",2024-06-06 17:40:10.160,2024-06-06 17:40:10.160,
CDT0004,Kompetisi Pengurangan Sampah,Kompetisi ini mengajak masyarakat untuk mengurangi sampah yang mereka hasilkan dalam periode tertentu. Pemenang akan ditentukan berdasarkan jumlah sampah yang berhasil dikurangi dan kreativitas dalam mendaur ulang atau mengurangi penggunaan barang sekali pakai.,2024-06-06 17:40:10.164,2024-06-06 17:40:10.164,
CDT0005,Melaporkan Sampah yang Tidak pada Tempatnya,"Pengguna aplikasi dapat melaporkan sampah yang ditemukan di tempat umum yang tidak sesuai. Laporan harus mencakup foto, lokasi, dan jenis sampah. Tim kebersihan akan diberitahu untuk mengambil tindakan.",2024-06-06 17:40:10.168,2024-06-06 17:40:10.168,
CDT0006,Daur Ulang Kertas,"Kertas dapat didaur ulang menjadi produk baru dengan cara dikumpulkan, dipisahkan berdasarkan jenis, dihancurkan menjadi pulp, kemudian dibersihkan dan diproses menjadi kertas baru. Produk seperti koran, majalah, dan karton sering kali dapat didaur ulang.",2024-06-06 17:40:10.172,2024-06-06 17:40:10.172,
CDT0007,Penggunaan Ulang Barang Bekas,"Banyak barang bekas seperti pakaian, furnitur, dan alat rumah tangga masih bisa digunakan kembali. Dengan sedikit kreativitas, barang-barang ini bisa diperbaiki atau dimodifikasi untuk digunakan kembali, mengurangi jumlah sampah yang berakhir di tempat pembuangan akhir.",2024-06-06 17:40:10.177,2024-06-06 17:40:10.177,
CDT0008,Pengelolaan Sampah Anorganik,"Sampah anorganik seperti kaca, logam, dan beberapa jenis plastik bisa didaur ulang. Pengelolaan yang tepat melibatkan pemisahan berdasarkan jenis bahan, pembersihan, dan pengiriman ke fasilitas daur ulang yang sesuai.",2024-06-06 17:40:10.180,2024-06-06 17:40:10.180,
CDT0009,Dampak Lingkungan dari Sampah Plastik,"Sampah plastik yang tidak terkelola dengan baik bisa mencemari lingkungan, termasuk lautan. Plastik membutuhkan ratusan tahun untuk terurai dan bisa membahayakan kehidupan laut. Mengurangi penggunaan plastik sekali pakai dan mendaur ulang plastik yang ada adalah langkah penting untuk mengatasi masalah ini.",2024-06-06 17:40:10.184,2024-06-06 17:40:10.184,
CDT0010,Teknologi Baru dalam Daur Ulang,Teknologi baru seperti pemanfaatan enzim untuk mendaur ulang plastik dan penggunaan sensor untuk pengelolaan sampah cerdas sedang dikembangkan. Teknologi ini bertujuan untuk meningkatkan efisiensi proses daur ulang dan mengurangi jumlah sampah yang tidak terkelola dengan baik.,2024-06-06 17:40:10.188,2024-06-06 17:40:10.188,
