id,user_task_challenge_id,image_url,created_at,updated_at,deleted_at
1,UT0005,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718720546/task_images%2BUT0005/cvzu5yq9ewczbs6oad7s.jpg,2024-06-18 14:22:29.201,2024-06-18 14:22:29.201,
2,UT0005,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718720548/task_images%2BUT0005/xqqe5bjmju6e5hgjb1rn.png,2024-06-18 14:22:29.202,2024-06-18 14:22:29.202,
3,UT0006,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718722350/task_images%2BUT0006/pthpgaertxejm4p2pam5.jpg,2024-06-18 14:52:31.495,2024-06-18 14:52:31.495,
4,UT0006,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718722351/task_images%2BUT0006/gm8ujomupdig3xyc6vah.jpg,2024-06-18 14:52:31.496,2024-06-18 14:52:31.496,
5,UT0018,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718788550/task_images%2BUT0018/evwiz1ymzbu4iyto9nf7.jpg,2024-06-19 09:15:50.396,2024-06-19 09:15:50.396,
6,UT0019,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718788797/task_images%2BUT0019/yhqc8bguxhg86abttv5g.jpg,2024-06-19 09:19:59.413,2024-06-19 09:19:59.413,
7,UT0019,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718788798/task_images%2BUT0019/umvcgf8hhccqsrvjgo2h.jpg,2024-06-19 09:19:59.414,2024-06-19 09:19:59.414,
8,UT0019,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718788798/task_images%2BUT0019/qlqwbf5qkgmqivc1eu47.jpg,2024-06-19 09:19:59.414,2024-06-19 09:19:59.414,
9,UT0020,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718798327/task_images%2BUT0020/do9amkoosxonxfuc1l43.jpg,2024-06-19 11:58:49.376,2024-06-19 11:58:49.376,2024-06-20 00:00:32.213
10,UT0020,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718798328/task_images%2BUT0020/qv6itdazcw4kth8mek8o.jpg,2024-06-19 11:58:49.376,2024-06-19 11:58:49.376,2024-06-20 00:00:32.213
11,UT0021,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718798608/task_images%2BUT0021/whctxewozsfietivsy5j.jpg,2024-06-19 12:03:28.709,2024-06-19 12:03:28.709,
12,UT0023,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718802261/task_images%2BUT0023/eld8gtctqlecmrfi31vg.jpg,2024-06-19 13:04:22.169,2024-06-19 13:04:22.169,
13,UT0025,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718809052/task_images%2BUT0025/t58uym3czbijcvqpve2f.jpg,2024-06-19 14:57:34.296,2024-06-19 14:57:34.296,
14,UT0025,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718809053/task_images%2BUT0025/wzfqoicllgztzha3hlra.jpg,2024-06-19 14:57:34.297,2024-06-19 14:57:34.297,
15,UT0016,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718812602/task_images%2BUT0016/lxatr7gqg3wvrgxglq4i.jpg,2024-06-19 15:56:42.575,2024-06-19 15:56:42.575,
16,UT0030,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718815414/task_images%2BUT0030/lwvx9niem16rnlesrchf.jpg,2024-06-19 16:43:35.411,2024-06-19 16:43:35.411,
17,UT0031,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718816477/task_images%2BUT0031/ljf6t6jgmfneiouedw8o.jpg,2024-06-19 17:01:19.403,2024-06-19 17:01:19.403,
18,UT0031,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718816478/task_images%2BUT0031/ovvpwcvg2hynzwkx1n26.jpg,2024-06-19 17:01:19.403,2024-06-19 17:01:19.403,
19,UT0020,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718841631/task_images_update%2BUT0020/vkierehexnanjl2nhzlh.jpg,2024-06-20 00:00:32.214,2024-06-20 00:00:32.214,
20,UT0032,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718842379/task_images%2BUT0032/rka1tmcfzz4sopvxt8ii.jpg,2024-06-20 00:12:59.675,2024-06-20 00:12:59.675,
21,UT0033,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718844744/task_images%2BUT0033/zvnzgbn0pyyi9z2aasjh.jpg,2024-06-20 00:52:26.540,2024-06-20 00:52:26.540,
22,UT0033,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718844746/task_images%2BUT0033/vprunpgm2ylb6xufhzbl.jpg,2024-06-20 00:52:26.541,2024-06-20 00:52:26.541,
23,UT0037,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718907731/task_images%2BUT0037/o0b56kv59fwbpf3mrb8x.jpg,2024-06-20 18:22:12.759,2024-06-20 18:22:12.759,
24,UT0038,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718935212/task_images%2BUT0038/mngbijbwygi0l22rdhoc.jpg,2024-06-21 02:00:12.519,2024-06-21 02:00:12.519,
25,UT0040,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718949752/task_images%2BUT0040/a5viwtl4hlpd1b5vzrgj.jpg,2024-06-21 06:02:33.347,2024-06-21 06:02:33.347,
26,UT0042,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718951862/task_images%2BUT0042/xfaxupipnuu5qkwi4g3m.jpg,2024-06-21 06:37:43.506,2024-06-21 06:37:43.506,
27,UT0039,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718959549/task_images%2BUT0039/s48vv3v74dg1omujpv6e.jpg,2024-06-21 08:45:49.916,2024-06-21 08:45:49.916,
28,UT0041,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718965057/task_images%2BUT0041/ggsbwjvniirgdj6crugf.jpg,2024-06-21 10:17:37.714,2024-06-21 10:17:37.714,
29,UT0045,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718973740/task_images%2BUT0045/hhgrgicilxfdaxtcoakw.jpg,2024-06-21 12:42:20.912,2024-06-21 12:42:20.912,
30,UT0048,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718984926/task_images%2BUT0048/rvj5fef1p5hu16h1dlng.jpg,2024-06-21 15:48:47.390,2024-06-21 15:48:47.390,
31,UT0050,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719038918/task_images%2BUT0050/hrrdt31ijqnycnftxxzv.jpg,2024-06-22 06:48:39.004,2024-06-22 06:48:39.004,
32,UT0051,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719038995/task_images%2BUT0051/xmiftrjdkkz8zwflbgdh.jpg,2024-06-22 06:49:55.575,2024-06-22 06:49:55.575,
33,UT0052,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719039125/task_images%2BUT0052/dbol7cci4yyynon91rdb.jpg,2024-06-22 06:52:05.681,2024-06-22 06:52:05.681,
34,UT0053,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719039307/task_images%2BUT0053/a0eg3cdcr3kgg25pnuih.jpg,2024-06-22 06:55:08.204,2024-06-22 06:55:08.204,
35,UT0054,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719039769/task_images%2BUT0054/gru2qjx0wgywde0vrhio.jpg,2024-06-22 07:02:50.180,2024-06-22 07:02:50.180,
36,UT0055,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719039822/task_images%2BUT0055/id1im4iv3j2klk3anyry.jpg,2024-06-22 07:03:43.168,2024-06-22 07:03:43.168,
37,UT0056,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719039973/task_images%2BUT0056/nb5jnkogz6cbpu6rjgzt.jpg,2024-06-22 07:06:14.018,2024-06-22 07:06:14.018,
38,UT0057,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040036/task_images%2BUT0057/hgzhmaieyoni2fm23w0s.jpg,2024-06-22 07:07:17.346,2024-06-22 07:07:17.346,
39,UT0058,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040368/task_images%2BUT0058/khjphwemzjiyxfxrqibu.jpg,2024-06-22 07:12:48.654,2024-06-22 07:12:48.654,
40,UT0059,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040416/task_images%2BUT0059/cedscgzr1tktt3ogdcwk.jpg,2024-06-22 07:13:36.731,2024-06-22 07:13:36.731,
41,UT0060,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040497/task_images%2BUT0060/b3uxjduncqbserfjwqzh.jpg,2024-06-22 07:14:57.617,2024-06-22 07:14:57.617,
42,UT0061,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040602/task_images%2BUT0061/harzv1ln0bchwzaw8lbg.jpg,2024-06-22 07:16:42.610,2024-06-22 07:16:42.610,
43,UT0062,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1719040676/task_images%2BUT0062/ytamhrnc0v8bqybxdy3j.jpg,2024-06-22 07:17:56.808,2024-06-22 07:17:56.808,
